Верхний зуб 1,Верхний зуб 2,Верхний зуб 3,Верхний зуб 4,Верхний зуб 5,Верхний зуб 6,Нижний зуб 1,Нижний зуб 2,Нижний зуб 3,Нижний зуб 4,Нижний зуб 5,Нижний зуб 6,Индекс 1
2.27,8.8,9.57,2.47,4.96,8.44,0.13,9.0,0.91,1.79,9.03,5.26,139.778
0.12,6.56,7.8,9.91,0.21,1.15,2.87,8.66,7.59,2.01,7.07,7.99,71.152
1.89,9.63,7.35,7.88,6.55,6.69,3.65,1.99,1.4,7.22,5.53,4.07,167.603
7.87,9.28,7.11,2.55,2.15,1.45,1.59,7.9,3.1,6.46,2.79,7.69,102.980
7.53,0.05,9.84,1.22,1.52,0.26,9.2,6.66,5.56,0.73,8.15,4.3,59.017
1.21,7.58,4.11,1.57,2.69,3.25,8.85,3.15,9.78,7.8,4.42,2.29,56.241
3.47,8.2,5.95,7.61,6.26,7.4,1.75,1.43,4.17,1.39,5.21,7.09,184.838
4.98,3.48,4.77,2.5,5.99,6.9,0.95,2.95,0.05,6.4,5.89,6.74,124.543
5.45,4.69,4.14,0.47,3.42,1.25,3.33,8.3,1.51,8.81,0.7,3.25,74.981
3.39,8.68,6.13,1.79,3.92,8.95,6.48,2.78,0.38,6.86,6.72,4.94,116.690
2.14,3.77,6.37,4.81,7.21,9.78,8.29,0.95,0.68,6.51,9.11,2.4,121.976
8.58,9.95,7.06,1.44,9.78,9.62,8.93,3.49,3.53,6.16,6.28,7.18,130.531
3.19,4.49,7.6,9.45,6.92,1.87,8.5,1.84,1.46,9.52,9.47,7.42,87.726
6.89,7.99,2.58,7.71,2.04,6.66,8.16,7.17,6.28,2.07,1.55,7.67,102.948
0.32,0.59,2.74,3.14,5.79,5.93,1.63,5.91,8.65,5.08,4.71,8.6,53.528
7.35,9.06,3.6,7.53,8.8,9.75,9.52,6.21,8.01,3.03,2.73,4.35,136.160
6.13,8.73,7.69,5.88,0.05,2.96,8.08,1.6,8.66,6.67,6.01,7.82,80.947
4.99,6.63,0.77,0.81,1.17,7.92,3.84,7.16,3.88,8.37,2.33,9.23,64.033
8.7,1.8,7.87,6.9,7.69,5.39,9.85,8.64,2.99,1.1,4.8,2.22,129.561
1.24,6.7,4.66,6.15,6.14,4.68,1.16,9.28,5.26,1.36,7.69,0.46,117.295
0.77,8.35,6.49,3.34,8.95,1.1,6.17,6.68,0.26,6.04,1.6,5.41,110.856
8.2,9.15,1.35,2.65,5.41,8.95,6.48,0.9,7.47,2.84,6.79,7.2,112.721
0.03,0.65,8.84,9.45,6.45,4.64,8.49,1.96,2.51,6.8,8.67,9.66,78.918
8.51,5.11,8.46,2.68,9.07,0.97,9.19,3.08,9.8,9.34,0.36,2.87,100.462
2.34,6.88,9.83,0.13,9.28,5.21,6.12,9.22,4.3,0.97,0.49,3.31,137.935
6.51,0.82,3.79,5.23,5.84,4.82,1.83,7.88,0.3,9.95,3.14,0.17,116.072
2.98,2.83,7.95,4.95,9.91,5.25,0.66,4.06,6.52,7.87,7.77,1.41,119.724
7.18,4.4,5.65,9.07,8.14,1.31,7.73,8.82,7.57,5.02,0.22,1.9,114.363
7.08,3.6,4.87,9.22,5.27,1.99,3.63,8.42,9.27,1.56,6.39,3.23,98.554
9.38,2.05,3.75,9.63,1.99,2.93,6.33,0.62,3.72,1.07,6.15,0.5,161.664
1.53,3.82,7.61,0.27,3.7,8.3,3.46,1.47,8.72,5.34,7.84,6.39,75.948
7.86,5.64,3.02,6.34,9.32,7.94,0.96,9.8,6.15,8.42,8.8,6.4,98.988
6.88,9.85,8.97,3.24,3.88,1.37,7.68,7.47,2.78,8.6,8.83,5.15,84.399
7.48,2.18,1.92,2.31,3.37,9.47,9.4,9.47,3.24,1.08,3.3,9.71,73.840
9.11,4.97,1.06,9.37,4.22,7.22,5.78,1.63,5.67,0.42,5.4,2.1,171.190
9.72,7.07,3.38,6.93,8.25,1.85,4.79,1.59,8.69,0.15,1.43,1.25,207.821
7.37,0.56,7.45,1.53,5.47,2.65,7.4,1.24,6.03,7.46,3.85,6.08,78.072
2.72,0.69,5.57,4.16,2.99,6.93,3.92,6.4,6.34,7.86,0.94,0.31,89.484
9.14,0.56,6.69,5.59,2.29,7.36,2.69,4.92,3.27,3.95,0.34,0.62,200.317
8.82,9.93,7.16,2.12,5.02,6.83,7.98,1.28,9.91,5.54,8.17,7.0,100.000
8.75,1.13,9.12,8.61,8.3,4.99,4.79,2.14,2.18,2.46,2.9,2.61,239.461
5.01,7.06,6.95,1.34,6.45,2.2,4.25,7.99,9.16,5.12,5.64,1.76,85.525
7.91,8.03,0.69,9.76,0.63,5.21,8.47,9.74,2.74,1.13,7.01,8.38,86.015
6.26,7.05,8.05,7.41,7.57,9.18,7.48,0.82,6.62,6.39,2.91,2.17,172.490
0.69,4.06,1.61,6.07,3.73,4.98,4.4,0.59,2.37,4.82,7.29,8.35,75.988
1.67,3.49,9.65,1.49,1.34,7.25,1.0,1.61,5.04,7.28,5.65,7.49,88.671
0.47,4.65,5.34,2.18,8.34,6.96,0.5,1.6,0.52,1.22,8.87,4.41,163.201
3.12,1.04,6.69,2.44,4.5,7.6,1.86,9.29,3.5,7.26,9.19,9.31,62.831
6.62,9.29,7.43,4.22,9.17,0.16,4.68,5.55,7.14,0.95,0.96,6.46,143.318
5.97,1.76,9.11,7.0,7.57,6.83,7.92,5.31,9.41,6.44,7.59,1.04,101.405
4.97,3.23,1.97,3.92,6.51,3.84,1.2,9.68,4.28,6.18,0.86,3.48,95.171
8.8,3.74,3.79,0.7,8.09,6.27,6.27,3.18,4.62,7.87,3.85,1.31,115.830
7.87,3.83,5.77,2.16,5.37,1.3,0.31,4.57,6.59,0.42,3.36,8.67,109.950
5.06,2.31,4.79,1.09,4.25,1.64,2.83,0.96,4.1,1.11,5.32,4.02,104.362
7.39,4.95,7.85,0.71,7.13,8.81,8.24,6.52,0.64,5.66,4.21,7.46,112.557
6.78,8.13,9.96,5.1,1.99,2.6,2.04,5.03,3.2,3.71,5.63,8.59,122.553
9.28,9.36,4.49,0.37,0.69,1.76,3.8,2.1,5.97,6.74,2.63,4.37,101.328
5.96,8.61,8.07,0.51,0.15,6.32,8.95,4.68,6.8,5.06,3.57,5.0,86.964
9.23,9.59,1.12,4.26,9.86,8.28,9.42,2.83,3.97,6.19,2.66,4.0,145.648
3.16,4.61,8.17,4.36,5.45,4.82,1.73,1.65,6.94,3.88,4.54,2.85,141.593
7.88,6.16,4.52,0.83,4.26,8.49,6.93,9.73,8.03,5.33,5.1,1.26,88.345
0.61,2.31,8.66,1.97,0.09,4.64,4.63,1.87,2.96,6.13,0.26,8.68,74.521
1.88,2.12,6.53,6.6,4.51,3.26,0.18,3.1,2.56,1.57,9.24,2.64,129.082
2.59,2.0,4.46,8.26,1.45,8.64,8.11,3.9,5.66,1.31,6.97,9.41,77.489
8.55,7.49,0.58,2.8,3.33,8.4,7.59,4.22,6.77,2.48,1.62,4.54,114.438
3.19,1.94,3.31,2.56,1.37,1.83,8.26,4.91,4.13,0.52,5.77,4.14,51.208
8.48,1.05,8.96,6.45,3.44,0.69,1.84,2.94,5.01,4.95,8.66,9.75,87.692
4.98,8.17,0.12,8.69,2.15,5.86,3.22,7.11,3.8,9.92,1.6,6.21,94.068
3.2,3.06,1.27,2.73,5.0,0.9,0.36,0.75,1.5,7.84,6.45,9.12,62.106
7.42,0.16,4.11,6.6,9.63,2.86,8.23,2.86,3.5,6.65,7.47,8.44,82.853
9.25,4.41,8.83,0.38,0.53,7.76,5.06,4.0,9.53,0.8,5.52,1.19,119.387
7.72,8.53,8.79,2.87,8.56,5.49,4.54,9.55,5.85,6.53,7.62,2.57,114.457
3.87,7.78,9.04,3.8,5.4,3.11,1.83,0.97,2.22,8.29,6.04,9.26,115.344
3.12,8.36,5.75,6.6,7.11,0.38,9.6,8.84,1.46,3.73,6.23,9.65,79.271
5.07,0.03,4.72,1.99,8.63,6.7,0.51,0.43,4.1,8.12,8.5,4.36,104.304
4.64,8.12,2.57,3.71,9.89,5.79,0.27,7.0,4.82,2.06,9.38,2.71,132.317
0.97,9.44,5.5,8.07,8.59,4.77,7.13,9.65,0.44,1.47,3.93,1.79,152.970
1.97,7.87,0.1,9.02,8.89,1.61,2.33,7.77,4.43,5.29,7.78,9.03,80.426
9.69,9.33,8.51,2.11,5.39,2.18,2.32,4.98,3.52,6.25,5.86,0.91,156.082
9.92,7.55,8.34,9.22,9.64,2.82,7.05,0.56,7.32,0.54,5.73,5.69,176.608
2.75,2.76,3.93,9.47,8.76,5.05,7.24,2.31,0.97,7.93,1.74,1.32,152.115
7.01,3.61,9.75,6.21,1.78,9.14,7.6,0.49,7.54,8.07,8.64,3.2,105.515
2.03,6.03,7.97,5.89,8.95,0.31,9.42,2.48,6.79,5.65,0.68,5.84,101.037
5.7,3.4,8.29,2.5,9.48,6.39,8.56,0.81,2.78,9.77,5.76,5.9,106.492
3.11,1.62,6.39,3.04,5.53,3.3,1.72,5.86,9.86,6.1,2.54,7.67,68.119
2.68,9.57,4.45,0.81,2.12,0.27,1.16,1.87,7.37,3.98,7.86,2.88,79.220
9.32,8.11,7.25,2.38,9.19,1.5,0.17,4.66,5.0,2.32,6.55,3.75,168.151
5.93,5.2,4.39,3.77,2.85,4.07,4.95,4.29,5.15,3.98,3.95,6.78,90.069
2.0,4.81,3.23,9.54,6.97,5.35,2.27,9.6,6.02,5.81,9.35,1.29,92.895
6.92,4.5,2.79,4.36,6.31,2.19,9.33,3.05,4.7,3.59,0.6,6.6,97.130
2.53,4.6,5.05,3.85,5.94,4.91,3.82,4.55,7.64,4.17,3.34,1.8,106.161
6.3,0.17,3.1,2.06,5.21,9.52,8.94,7.78,6.06,3.27,1.72,8.07,73.549
7.35,9.76,0.71,6.84,9.82,4.84,0.7,7.36,0.04,5.27,0.85,3.93,216.639
6.36,3.65,9.01,6.67,8.59,9.08,3.28,7.65,8.04,8.17,8.58,7.84,99.541
9.24,2.51,5.03,5.51,7.6,7.78,5.46,1.54,0.34,7.92,9.95,4.71,125.902
7.18,4.61,6.62,4.99,7.87,8.79,4.86,7.8,8.76,9.58,9.09,3.22,92.496
6.72,4.91,9.69,5.45,4.19,5.82,3.28,7.77,5.92,2.94,1.79,3.7,144.803
1.36,0.58,9.65,2.0,0.15,1.64,2.2,8.06,7.91,1.28,3.64,7.58,50.147
7.48,9.62,6.86,5.88,0.24,8.61,2.37,9.18,6.74,4.97,9.03,7.78,96.556
3.24,4.05,0.98,7.07,5.68,2.3,8.11,7.16,5.11,4.28,6.28,7.15,61.223
4.9,5.2,2.79,0.3,8.07,9.86,3.46,3.38,1.88,6.84,6.91,7.08,105.313
1.3,8.67,1.56,9.93,8.46,7.61,2.67,8.12,5.28,1.29,3.54,5.26,143.463
9.21,4.27,8.13,5.45,6.15,5.2,3.67,1.77,2.38,8.5,5.65,4.26,146.435
8.77,5.82,2.43,5.4,0.39,7.92,8.65,1.12,5.3,6.05,6.1,6.58,90.917
9.34,5.0,6.96,7.68,1.65,7.03,9.11,3.34,8.03,9.26,3.72,2.69,104.177
6.69,0.73,9.18,2.01,7.45,7.79,1.82,5.89,6.69,4.85,1.57,9.93,110.081
3.07,9.74,3.74,7.04,4.97,3.75,5.43,0.26,7.81,6.32,3.0,9.98,98.506
3.0,8.7,1.96,8.67,8.75,9.2,4.59,1.8,5.04,0.25,9.32,3.66,163.341
8.9,2.51,1.54,8.68,1.17,1.18,2.66,5.03,4.92,5.09,0.56,1.86,119.185
5.1,1.75,0.28,3.5,5.67,7.38,0.38,7.73,5.54,8.57,1.56,9.82,70.476
4.14,4.62,0.54,0.77,4.45,2.32,0.29,6.79,1.46,0.72,1.75,0.78,142.833
9.24,9.47,8.81,6.06,8.7,1.18,6.21,6.37,5.02,0.24,4.54,4.85,159.603
9.09,2.67,3.12,3.46,0.2,6.79,7.98,8.73,9.1,0.82,0.55,3.68,82.080
1.7,9.85,7.15,9.76,6.0,7.8,0.79,4.19,9.94,7.3,3.56,9.73,119.009
2.1,4.21,8.94,3.13,0.88,7.33,3.47,0.51,9.14,7.28,7.02,5.66,80.381
1.47,5.27,5.43,1.86,9.84,3.03,6.15,6.34,0.06,5.07,7.11,1.26,103.501
4.84,0.25,5.94,5.65,8.97,7.59,6.05,1.1,2.2,1.66,9.61,3.87,135.729
9.11,1.61,2.86,6.12,9.72,0.12,5.98,2.59,9.12,3.77,0.23,8.29,98.532
9.48,5.47,6.78,5.21,3.58,6.31,1.61,2.09,8.91,6.68,1.47,4.76,144.318
3.4,4.73,6.87,5.77,8.92,3.9,6.08,2.42,3.06,4.6,1.21,6.68,139.667
6.19,1.42,3.31,9.56,8.34,0.93,6.45,3.86,6.06,9.59,5.96,3.29,84.493
1.12,3.82,6.13,7.03,5.48,5.27,1.43,2.98,5.05,0.93,8.41,3.3,130.543
5.67,7.28,2.64,4.28,9.94,8.38,3.93,5.49,2.8,8.52,4.11,0.95,148.023
5.96,7.16,1.51,7.55,0.33,3.01,0.63,4.03,9.21,8.44,4.67,7.07,74.949
5.87,3.41,8.68,6.33,3.26,8.9,7.37,2.81,3.33,3.77,3.2,6.25,136.364
3.55,6.97,9.61,7.12,7.97,7.89,0.6,2.26,1.07,2.53,9.03,6.0,200.605
7.05,1.46,2.28,3.79,3.06,9.73,5.36,5.76,3.91,9.57,3.22,7.5,77.492
8.99,4.69,6.27,3.22,4.31,6.41,2.94,7.67,9.71,3.8,9.96,9.41,77.926
9.82,2.78,3.59,1.63,2.13,4.78,4.59,8.92,1.33,3.71,5.83,6.24,80.764
8.06,3.05,8.41,4.43,7.28,0.84,5.32,7.62,6.86,4.0,8.49,1.06,96.162
9.56,9.23,3.58,7.94,4.76,0.3,4.45,3.29,0.08,9.71,6.68,6.39,115.588
3.3,2.09,4.94,4.32,2.3,6.38,8.34,6.52,6.92,1.83,3.32,6.5,69.788
4.01,2.91,9.07,7.16,6.23,4.91,6.88,1.32,8.11,5.17,9.52,5.66,93.535
1.96,0.15,2.27,9.86,8.47,3.67,9.91,9.2,4.86,8.34,1.54,3.56,70.516
9.14,0.32,9.89,9.67,1.65,8.99,1.81,9.1,8.86,2.98,2.39,8.73,117.095
0.77,0.92,9.21,8.88,4.27,4.02,0.6,7.53,2.97,9.22,9.22,5.27,80.638
2.45,3.97,3.86,7.15,7.91,6.57,4.09,4.23,3.1,0.74,6.19,8.21,120.143
5.61,8.87,5.95,0.94,2.81,3.75,8.2,2.25,8.17,0.3,1.2,7.85,99.857
1.63,0.38,6.63,1.71,3.5,7.74,4.27,8.46,4.17,3.64,4.21,4.85,72.939
3.54,5.43,1.63,3.07,0.7,9.5,2.31,5.75,5.22,4.05,6.64,3.22,87.790
0.68,7.32,4.98,6.05,9.3,5.14,4.75,9.14,1.51,3.6,7.72,5.4,104.203
8.22,1.27,4.48,4.39,4.06,5.11,2.96,4.19,0.03,9.4,1.83,5.15,116.851
10.0,4.67,2.1,8.76,0.08,3.68,8.75,6.92,6.49,10.0,3.24,0.91,80.666
4.83,4.07,2.25,1.79,3.13,8.67,2.52,1.35,5.2,2.73,0.77,8.76,115.987
6.1,8.12,8.34,3.18,7.16,9.66,8.44,8.33,9.18,9.64,9.94,6.25,82.194
5.52,7.77,1.89,2.92,0.75,4.24,7.18,3.47,7.19,2.31,0.62,9.83,75.458
5.12,6.94,7.28,3.92,2.92,8.29,4.47,5.47,1.49,5.66,1.15,6.8,137.660
3.3,1.07,3.79,8.0,3.74,6.25,6.56,4.93,1.35,7.33,7.96,6.57,75.360
3.56,9.94,4.94,7.1,0.06,3.96,0.59,2.15,7.71,9.44,4.75,4.65,100.922
3.86,7.01,4.86,1.24,6.86,3.73,7.72,9.52,8.88,5.58,0.44,0.05,85.617
2.18,3.27,5.92,4.62,5.0,5.82,4.02,7.66,2.27,3.17,1.5,7.64,102.094
2.34,6.16,4.28,3.75,7.27,3.18,6.53,5.63,4.37,8.39,1.57,4.12,88.141
1.26,8.08,2.16,6.97,4.99,4.28,0.37,7.97,0.12,7.15,9.73,7.36,84.832
2.92,2.86,2.56,6.98,7.82,3.34,6.63,4.25,2.18,2.94,1.85,0.6,143.523
4.49,5.07,5.18,2.77,0.39,5.82,8.99,9.03,2.87,0.71,7.42,3.07,73.917
2.64,1.74,5.53,7.87,6.28,2.39,0.86,7.03,5.6,4.54,9.09,4.28,84.236
0.83,1.55,1.2,0.76,6.52,6.1,1.8,8.16,9.96,6.89,6.52,1.66,48.471
1.37,1.65,6.11,9.79,9.25,8.49,8.38,4.11,2.99,2.94,8.42,6.62,109.564
0.29,9.98,7.21,1.6,2.01,7.77,4.65,0.09,7.47,1.3,3.3,6.67,122.913
6.75,1.71,9.02,5.92,8.41,1.02,7.35,0.28,1.99,3.72,5.2,0.41,173.245
1.65,2.76,4.07,5.14,9.59,6.04,4.83,4.44,5.87,0.68,4.97,5.53,111.132
6.11,9.69,4.15,3.53,5.99,3.95,1.71,0.99,2.48,4.23,2.18,9.67,157.197
5.29,1.23,6.69,9.89,1.67,6.29,1.91,6.36,5.56,1.83,0.82,9.89,117.785
7.56,0.73,2.13,5.4,7.98,4.81,4.7,7.78,1.83,5.69,7.3,4.81,89.100
2.07,7.72,7.23,1.37,1.68,0.43,6.75,5.13,7.74,4.9,5.22,1.51,65.600
8.57,4.5,9.27,9.33,4.09,3.45,2.39,4.89,4.39,9.07,2.46,4.9,139.537
6.19,2.95,0.68,8.58,8.45,0.57,0.75,5.27,0.56,8.37,7.27,4.98,100.809
9.87,3.15,1.87,1.3,1.27,5.33,8.16,7.84,0.4,8.33,2.13,0.12,84.470
5.85,2.33,7.97,1.89,3.46,9.48,5.01,9.45,3.23,5.49,0.36,9.71,93.173
5.96,2.89,5.26,5.11,8.44,3.82,9.12,8.95,8.93,1.93,6.99,3.6,79.656
7.14,9.15,6.44,3.49,8.74,9.65,4.04,4.84,0.11,0.44,5.72,4.71,224.622
9.26,2.65,4.34,8.75,7.12,4.07,7.95,9.66,8.79,7.22,4.82,4.54,84.202
2.24,4.08,5.1,2.01,6.9,1.51,8.99,7.08,4.77,7.64,8.06,3.7,54.274
8.61,2.76,6.26,8.07,5.7,8.3,6.63,1.85,8.08,3.95,9.2,3.92,118.049
1.76,0.32,5.2,4.0,7.18,5.08,6.48,5.24,9.32,6.27,4.35,5.93,62.623
4.52,1.68,7.28,2.44,6.53,9.98,4.45,2.69,4.27,3.22,5.71,8.04,114.271
8.87,3.95,9.34,9.27,9.95,1.33,7.81,1.32,9.29,3.93,6.89,3.18,131.740
5.14,2.56,7.82,8.65,4.51,9.62,9.31,5.17,8.01,6.9,1.45,4.81,107.433
